station1_stop_id,station1_name,station2_stop_id,station2_name,walking_time,route,route_desc,station1_lat,station1_lon,station2_lat,station2_lon
Parent8592057,"Lausanne, Grey",Parent8592088,"Lausanne, Parc Vélodrome",537.6982109021675,WALKING,WALKING,46.5335490665829,6.61912837412199,46.5360209214573,6.62375469783585
Parent8592057,"Lausanne, Grey",Parent8592094,"Lausanne, Pierrefleur",271.00832034547426,WALKING,WALKING,46.5335490665829,6.61912837412199,46.5346799541504,6.616675973396
Parent8592058,"Lausanne, Haute Combe",8587550,"Montblesson, Perronnaz",599.6885541908338,WALKING,WALKING,46.5448259900677,6.68481318770595,46.5424163237389,6.67929753186069
Parent8592058,"Lausanne, Haute Combe",Parent8587550,"Montblesson, Perronnaz",599.6885541908338,WALKING,WALKING,46.5448259900677,6.68481318770595,46.5424163237389,6.67929753186069
Parent8592059,"Lausanne, Hermitage",8591982,"Lausanne, Barre",591.5973429857478,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5257496269847,6.63602568461863
Parent8592059,"Lausanne, Hermitage",8592034,"Lausanne, Druey-Collège",578.3436339342852,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5283948873152,6.63049206246768
Parent8592059,"Lausanne, Hermitage",8592053,"Lausanne, Grande-Borde",409.46421910087474,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5299399564156,6.631785636477
Parent8592059,"Lausanne, Hermitage",8592067,"Lausanne, Lisière",322.49624416405027,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5324305152774,6.63751688799048
Parent8592059,"Lausanne, Hermitage",8592071,"Lausanne, Mémise",457.524962142035,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5274431028738,6.63323192408463
Parent8592059,"Lausanne, Hermitage",8592082,"Lausanne, Motte",479.21498727297694,WALKING,WALKING,46.5301809832323,6.63623229713401,46.533202997922,6.63341158714148
Parent8592059,"Lausanne, Hermitage",8592091,"Lausanne, Petit Château",343.2121070080354,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5276532385357,6.63554059436514
Parent8592059,"Lausanne, Hermitage",8592111,"Lausanne, Rouvraie",531.5919513064872,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5326097322298,6.63164190603152
Parent8592059,"Lausanne, Hermitage",8592115,"Lausanne, Signal",503.10291916961114,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5325850126853,6.64045437896996
Parent8592059,"Lausanne, Hermitage",8592138,"Lausanne, Vulliemin",382.5657064205288,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5277274038693,6.63407634045182
Parent8592059,"Lausanne, Hermitage",Parent8591982,"Lausanne, Barre",591.5973429857478,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5257496269847,6.63602568461863
Parent8592059,"Lausanne, Hermitage",Parent8592034,"Lausanne, Druey-Collège",578.3436339342852,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5283948873152,6.63049206246768
Parent8592059,"Lausanne, Hermitage",Parent8592053,"Lausanne, Grande-Borde",409.46421910087474,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5299399564156,6.631785636477
Parent8592059,"Lausanne, Hermitage",Parent8592067,"Lausanne, Lisière",322.49624416405027,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5324305152774,6.63751688799048
Parent8592059,"Lausanne, Hermitage",Parent8592071,"Lausanne, Mémise",457.524962142035,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5274431028738,6.63323192408463
Parent8592059,"Lausanne, Hermitage",Parent8592082,"Lausanne, Motte",479.21498727297694,WALKING,WALKING,46.5301809832323,6.63623229713401,46.533202997922,6.63341158714148
Parent8592059,"Lausanne, Hermitage",Parent8592091,"Lausanne, Petit Château",343.2121070080354,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5276532385357,6.63554059436514
Parent8592059,"Lausanne, Hermitage",Parent8592111,"Lausanne, Rouvraie",531.5919513064872,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5326097322298,6.63164190603152
Parent8592059,"Lausanne, Hermitage",Parent8592115,"Lausanne, Signal",503.10291916961114,WALKING,WALKING,46.5301809832323,6.63623229713401,46.5325850126853,6.64045437896996
